param,w1,w1_mean,ci_low,ci_high
P1,0.5214543880771926,0.5216797185974149,0.5135547975921768,0.5294348973272236
P2,0.7575463276577625,0.7573825468882287,0.7507860489651994,0.7638872434891006
P3,0.049516734868379604,0.04948095465497966,0.04693934642239431,0.05192429926613904
P4,0.000237238847618671,0.00022488301905080094,-0.0010966656149248106,0.0014182070116110696
P5,-0.007696698554425826,-0.007695037295178014,-0.009481391990197324,-0.006084114828463765
P6,-0.03194166349044785,-0.031983858022009135,-0.03334125223113757,-0.030557996473738844
P7,0.20713814191505708,0.20717278284145726,0.20460096014278578,0.20966797012134114
P8,0.21424585222052298,0.21428352321398972,0.21190088816347236,0.216843513303906
P9,-0.17170137992379422,-0.1716043110052624,-0.17919282192792393,-0.16405838124966934
P10,0.17996819541338824,0.17983010011451828,0.17149041246673088,0.18840441406380912
