param,sensitivity,boot_mean,ci_low,ci_high
P1,0.07781815773462655,0.07796707740229628,0.07154699782553053,0.08544337797864857
P2,0.7945392112288359,0.79456056591837,0.7777437803789904,0.8098448011990244
P3,0.009761306329695496,0.009726626568562421,0.006454965518640729,0.014128940669390511
P4,0.0032891133707726116,0.003246499795487676,0.0014199887718742731,0.005513901440574463
P5,0.007133845882187172,0.007048106915969226,0.002552782857537581,0.01306965184310574
P6,0.00393645352453134,0.0039329816705153476,0.002036437438012749,0.00650000712606183
P7,0.006728049308053218,0.006764877392628287,0.0057420391361400315,0.007930826072353285
P8,0.005465027349094964,0.005469629053231149,0.004914515584344831,0.006110422668851186
P9,0.04556242270577823,0.04556541176801985,0.041743595054305166,0.04989713871895427
P10,0.04576641256642494,0.045718223514919255,0.04206497689465118,0.049746748179627626
