eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,0.1690871666005555,0.16908844167131432,0.16238162745899404,0.1757912359033241
2,0.016204743092405754,0.016216627510184455,0.015258113612423255,0.01723793521949629
3,0.005771927498939068,0.005819692858585067,0.004990693840942361,0.006857444004128817
4,0.0018772923684699965,0.0020732907366946135,0.0010624379450865414,0.0032652747364967346
5,0.001191645999001546,0.0011717656283528315,0.0006124110060644461,0.001954499560829885
6,0.0007085897018693385,0.0006912839670466165,0.000414497246038348,0.0010973586184761114
7,0.0005440115487647265,0.00044739944222259244,0.00020736889395019152,0.0007023361961380898
8,0.00040621284518541995,0.0002799321120546621,8.845185264678581e-05,0.0004752834114914442
9,0.00013709218598511986,9.606991616055925e-05,2.277806782305961e-05,0.00017499192610268506
10,2.3328162982713938e-05,1.946426382880264e-05,1.3104203995480102e-05,2.7600423871050028e-05
