param,sensitivity,boot_mean,ci_low,ci_high
P1,0.08084010380723748,0.08100033663394861,0.07613795475902392,0.08614567714140155
P2,0.761028235186356,0.7609558311020265,0.7518289334907591,0.7699175481639781
P3,0.007017515941125649,0.007005439751246464,0.005980378927528272,0.00837391255710869
P4,0.0010652947589364467,0.0010533517950641208,0.00048044173863168133,0.001751789888596099
P5,0.002292726359046018,0.0022719696207115074,0.0008739184052111455,0.004150978688630484
P6,0.0018371724627655897,0.0018405233466702114,0.0012292781722926277,0.0026546368217144887
P7,0.021188954047265816,0.021213256427144486,0.020364710584890863,0.02208747411337921
P8,0.02166438085915792,0.021680955686727333,0.020938127677267195,0.022423903491700013
P9,0.04949287734616647,0.04946808924871561,0.04599875723734154,0.05282611662853091
P10,0.05357273923194313,0.05351024638774593,0.04985702564571194,0.05718175678954726
