param,sensitivity,boot_mean,ci_low,ci_high
P1,0.5077517747000024,0.5083859287196202,0.47848361848474014,0.5353702150888776
P2,0.08071732086307193,0.08064744769530695,0.06834031990342498,0.09448034211200605
P3,0.016774390697355108,0.016600601805612576,0.005801115320984987,0.03145424563156354
P4,0.013091571950712606,0.012873940952937063,0.006282946269353835,0.020660361296595577
P5,0.026338471478300804,0.025853922476206995,0.009329753180890212,0.04796136724933478
P6,0.015718398617391924,0.015620035378092546,0.009140685953189641,0.024255221465455737
P7,0.14712945080317366,0.14743117066362108,0.13920476652737862,0.15552774515535614
P8,0.15162596095358083,0.1517974412845248,0.1430161398248579,0.1600904592184261
P9,0.018092427183354805,0.01809890944422528,0.014059839028959848,0.022846678215424115
P10,0.022760232753057053,0.022690601579852095,0.019810739964925276,0.025812823873543143
