eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,6.356762055784022,6.3455716672684215,5.858120692101905,6.779778415505117
2,0.792883345518608,0.7948185359175394,0.714848980632195,0.8810901537924789
3,0.3803180444954445,0.379643052601755,0.34735100172655625,0.41290242613733497
4,0.0359346220237695,0.03578319918375995,0.03095827005415517,0.0409216629297371
5,0.015478503705857792,0.015325598740171077,0.013471504819801592,0.01723514813143117
6,0.001978073834271073,0.0020291256995615802,0.001557243734859574,0.002678784038150008
7,0.001420606104757125,0.0014308025538623495,0.0011775944015145479,0.0017183065522166046
8,0.0011975286462278403,0.0011604693935067497,0.0010024585977568572,0.0013352895218602411
9,0.0009333561400107845,0.0008776339482813145,0.0006435852857723564,0.0011049327841418596
10,0.00036841112294492705,0.0003573814824400771,0.00029957264512432317,0.0004207471420438433
