param,sensitivity,boot_mean,ci_low,ci_high
P1,0.2968435157799221,0.29676934542686256,0.28114924552083437,0.3125215691399431
P2,0.267479645368277,0.2676656824690751,0.2533167374491604,0.2816889751846411
P3,0.06299727263617454,0.06289610931095072,0.053543778400663634,0.0727861793918828
P4,0.0004838485691883248,0.00048299602406375297,0.0003685215991894289,0.0006390312781652911
P5,0.000438528071793908,0.00043644103451936667,0.00035411609363585956,0.0005434757310522414
P6,0.00174841603668328,0.0017508760525468692,0.0015624302596103374,0.0019559549613806407
P7,0.14297997707697102,0.14310672045478554,0.1314459207551371,0.15579428547646143
P8,0.13333663907473203,0.13349713603894517,0.12297576201259612,0.1447138054567125
P9,0.06463816052848453,0.06444134163824099,0.054671465866072154,0.07458921409652121
P10,0.02905399685777362,0.02895335155000954,0.024692414247481514,0.033438672937998806
