eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,4.958224755606904,4.958220199038907,4.64739141436127,5.285871100428879
2,1.8857434352476923,1.882463713835056,1.717213205721838,2.0519609450719334
3,0.9189235282514435,0.9159391472950775,0.8363781638464909,1.0060558844713325
4,0.32869781224607025,0.32761093245076445,0.29359870384048703,0.3641892130704955
5,0.08119136746141957,0.08084366952315075,0.07061484923907979,0.0914623860002563
6,0.0034888802000866866,0.0034872427687434975,0.0031087589325432628,0.003909938420538069
7,0.0020318463921480995,0.0021130623921595953,0.0018089931382446638,0.0025377826034348855
8,0.0019276986045463544,0.001805688081895041,0.001478574631083073,0.002081379251346187
9,0.001174854593025597,0.001150410544832269,0.0009812621045585364,0.0013382406021561191
10,0.0006258115393890521,0.0006103370301981343,0.0005316427039752732,0.0006925964377657095
