param,sensitivity,boot_mean,ci_low,ci_high
P1,0.18977576654961528,0.19038805420722058,0.17074691665848207,0.21333537749093007
P2,0.4920474924213242,0.49118361158066154,0.4613771402488072,0.5206144727678699
P3,0.015235401516364794,0.015262832111569863,0.013361616652251187,0.017265748685538367
P4,0.0002290365319272228,0.0002295929779771039,0.00020034274920653234,0.0002642369714550709
P5,0.0002576535254082666,0.0002575423856545787,0.00022670127404718436,0.0002906763522890508
P6,0.0009015258530527487,0.0009009566102394287,0.0007793209913282783,0.0010257767634653356
P7,0.06203939270083578,0.062189677367437204,0.055934079133228176,0.0687214182280897
P8,0.05413015941968587,0.05426818059733399,0.049237611445833655,0.059781691543316265
P9,0.12345727402811663,0.12341395367901144,0.11127745347026834,0.1357939927036347
P10,0.06192629745366952,0.06190559848289511,0.055851264250921864,0.067933746961162
