param,sensitivity,boot_mean,ci_low,ci_high
P1,0.34366625281683133,0.34340250552570334,0.3200674544971266,0.36610758276397853
P2,0.29063262992102684,0.29101981692480827,0.26573671736453586,0.3175977243622661
P3,0.011210861421549437,0.011179870013530827,0.009707911894487092,0.01266859231107033
P4,0.00030027555047893497,0.0002979772578524736,0.0002404265310998631,0.00036461756160135594
P5,0.00025200984311892454,0.00025178406513414354,0.00022794646304730338,0.000276572025027266
P6,0.0014191661333789775,0.0014196552163487862,0.0012397469522665147,0.0016051280684291397
P7,0.10746724619888473,0.10760251827162362,0.09674405750427616,0.11913158891191625
P8,0.09339039302567195,0.09348973726564998,0.0843593017357869,0.10310747405679817
P9,0.10098519080422766,0.1007798598642161,0.0909453212183685,0.11066010145921008
P10,0.05067597428483149,0.050556275595132386,0.04549645664725511,0.055478514520182036
