eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,2.5442273026645292,2.540692434858997,2.3472313701694762,2.7273048069416705
2,0.5008297910517737,0.5009723465543116,0.4378064760285269,0.5636507241940348
3,0.1403366587635135,0.14055591490341054,0.12821171711695437,0.1529859244444322
4,0.10041591269958719,0.09950130590908358,0.08930729467214943,0.11004965417688056
5,0.059427591496989875,0.058790441153727016,0.05068993953033301,0.06740829802008058
6,0.0013085449642086051,0.0013659268512018802,0.0011417612471566342,0.0017550792611070484
7,0.0011649520273436975,0.001106149975054827,0.0008465200377085528,0.001323805123260383
8,0.0005079333944395734,0.0004986005132827917,0.000406976395562092,0.0005987349511690846
9,0.00033743707632625353,0.0003283599838446058,0.00027772143443479633,0.00038783457164101316
10,0.00025705798859231916,0.0002470813023368054,0.0002084447385570425,0.0002824476047944174
