param,w1,w1_mean,ci_low,ci_high
P1,-0.8767580639081468,-0.8765679051154326,-0.8912712848834158,-0.8612799960476154
P2,-0.09856846951338105,-0.09891971357775842,-0.11699803577956511,-0.08224421316732058
P3,0.013012929308514495,0.013024725820623504,0.010753817753229694,0.015365078331048599
P4,-0.009139353329921057,-0.009143756850978367,-0.009976460383083786,-0.008239663408643471
P5,0.0035419687336705344,0.003544811699784182,0.002471880454548135,0.004636893673411307
P6,0.041519078716896,0.041507195996408584,0.03922777717207457,0.04380087841249984
P7,-0.33974744913176,-0.3396762009593722,-0.35894233421111643,-0.3198465761420825
P8,-0.32129994151159247,-0.32122014009340194,-0.3392327046564857,-0.3026700832655883
P9,-0.025963796654792728,-0.02602848225295251,-0.035877301550361874,-0.01717522601590804
P10,0.015943973711654708,0.015985168840631152,0.009397399263971378,0.02323721983083487
