Epoch,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Loss
0,0.5281594,0.50570506,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0655047595500946
1,0.5544107,0.5289321,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0391022910674412
2,0.58021975,0.5523924,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0149033218622208
3,0.6056886,0.5753459,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9922085454066595
4,0.63074505,0.59781295,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9709850748380026
5,0.6553175,0.6197328,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9511994396646818
6,0.6793275,0.6411927,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9327615971366564
7,0.70274234,0.6621984,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9155247807502747
8,0.72553223,0.68265975,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8995697771509489
9,0.7476663,0.7024814,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8848876853783926
10,0.7691171,0.7215897,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8714376402397951
11,0.7898617,0.7399278,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8591669673720995
12,0.8098772,0.7574526,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8480303138494492
13,0.82915,0.77413267,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8379582775135835
14,0.84767365,0.7899445,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8288871037463347
15,0.86544913,0.8048927,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8207130568722883
16,0.8824711,0.8190208,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8133744907875856
17,0.89874285,0.832383,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8067858057717482
18,0.91425365,0.84501976,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8008867626388868
19,0.92907226,0.8573384,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7955142346521219
20,0.94345593,0.8690532,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.790424914409717
21,0.95712733,0.8789881,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7866970151662827
22,0.96924794,0.88444424,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7850701672335466
23,0.9796351,0.88529056,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7841429449617863
24,0.98864216,0.8826374,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7831288961072763
25,0.99652356,0.877153,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.78194385394454
26,1.0,0.8694616,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7806297118465105
27,1.0,0.8601256,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.779786633948485
