eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,0.5969405344159836,0.5975888692647267,0.579870418573339,0.6157639064742735
2,0.1865208317950398,0.1863448265741621,0.16799772497236157,0.20484559072240463
3,0.0336496612298917,0.0335911719243551,0.031454798701536495,0.03581121920411893
4,0.015158632823447517,0.015060188633940496,0.013994125030614594,0.016145577761274708
5,0.00018598073999182121,0.00020457178233693302,0.00016414349875576813,0.00028705751925506404
6,0.0001675762174153297,0.00015481535490270102,0.0001093559975210211,0.00020914721510188096
7,0.00011365322889412318,0.00010971376894219162,8.778026279738443e-05,0.00014063718394245018
8,8.039238456762397e-05,7.69513829458862e-05,6.299148262359856e-05,8.820940502742833e-05
9,5.326518071043497e-05,5.034115424425247e-05,3.8391387784727796e-05,6.512839011054171e-05
10,2.8635312219365558e-05,2.7609073578657106e-05,2.3934302102056734e-05,3.1321786179398845e-05
