param,sensitivity,boot_mean,ci_low,ci_high
P1,0.6349831102280387,0.6353736330395938,0.6047022512933684,0.6650362385256833
P2,0.25025717775683665,0.24987068199776058,0.22283131595066002,0.27860235435082853
P3,0.0005578957193797355,0.0005564172100026944,0.0004733850042488497,0.0006441443110451006
P4,0.00023155221044346476,0.00023017008062871226,0.0001998725358719591,0.0002628736878349861
P5,0.0002566275627139219,0.00025614784997523427,0.000221022850638903,0.0002992159739426262
P6,0.0009799565170679008,0.0009803421860776471,0.0008960649673876245,0.00108070489861404
P7,0.037795541832404626,0.03783983182900058,0.035084255141362444,0.040645577130355784
P8,0.029692287063429704,0.029719355496758172,0.02746508412085329,0.03217156016854814
P9,0.0230736442713043,0.023039452345357387,0.020578919609851393,0.025404664515369532
P10,0.022172206838381194,0.022133967964845826,0.019736961913909012,0.02435011786897178
