param,w1,w1_mean,ci_low,ci_high
P1,-0.23856957477308538,-0.23832088194896872,-0.2568121042108664,-0.21906018078928619
P2,0.9600014544031257,0.9599135903685093,0.9554626837752407,0.9640936045209618
P3,0.027077572648644674,0.027083186453307415,0.02501439099979682,0.02933748324091112
P4,0.002829470370124748,0.00279734008499585,0.0015202237725850671,0.004234320804294879
P5,-0.0026444075290882,-0.0026646436198016574,-0.0034829704688744494,-0.001828323051339002
P6,-0.010724698654893233,-0.010758293658843374,-0.012189890392609863,-0.009315673650803555
P7,0.10442832727431185,0.10454371350831879,0.09722505361588114,0.11218432650918508
P8,0.0959028124006361,0.09599437174655329,0.08974661800867839,0.10251464145583236
P9,0.018897470191150834,0.01896853649153452,0.0039018532466833897,0.03317323701271867
P10,-0.012602114808574387,-0.01270649583616564,-0.026711546634927245,0.0020367033772141735
