param,w1,w1_mean,ci_low,ci_high
P1,-0.8428240369331808,-0.8424749323664361,-0.8590969848961855,-0.823704118164677
P2,-0.26373574739300837,-0.2635277454627689,-0.3010852171866254,-0.2295363452133559
P3,-0.0007077958109196118,-0.000705585607866593,-0.002033081109327022,0.000679503482210367
P4,-0.005553675598514686,-0.005561181358345908,-0.0067591363381878985,-0.004300153525406558
P5,0.011279355262480327,0.011304659821097247,0.009992048422766707,0.012625064942125107
P6,0.05011865297938471,0.05014635362627977,0.04739685855199517,0.052770939211323406
P7,-0.3468321866648917,-0.3468348237603328,-0.35985021891060365,-0.33369117144071003
P8,-0.310759443904371,-0.31078180222986906,-0.32205597331274877,-0.299001328179644
P9,-0.019530666201438684,-0.019693659707817144,-0.03778576508734112,-0.0017028731708817232
P10,0.013236547539391826,0.013405691562923573,-0.003617593298099219,0.03066934763091981
