eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,1.0091241842772545,1.0083780621350384,0.9271660866682576,1.0967038750200409
2,0.07078351541523475,0.07090078786113804,0.06619332121539356,0.07634934852284682
3,0.027689716814521134,0.027721971413794764,0.025816840069168644,0.02973319298080311
4,0.018199597181556948,0.018003755709256747,0.015212566226916791,0.020836125228417907
5,0.0005446216693417662,0.0005479987898050169,0.00040023341871954537,0.0007258865798380911
6,0.0002894901573820026,0.000291569810450224,0.0002508196590645058,0.00033908086657239946
7,0.0002121339286461741,0.00019786236762142146,0.00013171522634984574,0.0002745386650245475
8,0.00012352837620762685,0.00012129910273095075,9.920491522702791e-05,0.00015303522666055614
9,6.910774245488358e-05,6.518463865765288e-05,3.9599565071581e-05,8.883641286724517e-05
10,4.2309786748657505e-05,3.92175497242378e-05,3.2107500944890376e-05,4.730847414653728e-05
