param,sensitivity,boot_mean,ci_low,ci_high
P1,0.5560509840876734,0.5558654534855353,0.5446020446815613,0.5675861516329248
P2,0.2106415789002846,0.21035026984071617,0.20140101022989126,0.2198922279677555
P3,0.0005474612941367222,0.0005457047436796707,0.00047966228736630637,0.0006175666999771663
P4,0.00028539170405037363,0.0002850692730754593,0.00024189746520197805,0.00033401913182230076
P5,0.00044019643304675423,0.0004417183795492314,0.0003736331499520384,0.0005553115653420127
P6,0.0038083742445687895,0.0038178654536227567,0.0035475960964718627,0.004085701245073481
P7,0.11441158953608581,0.11466215063511437,0.10761573398105824,0.1219798668881846
P8,0.09479659074163671,0.09501273407789927,0.08910127935795266,0.10093728930817895
P9,0.010786280889883733,0.01078748844696533,0.008928778957665166,0.012708610693522472
P10,0.008231552168633468,0.008231545663841615,0.006786099032766793,0.009714390132991963
