param,sensitivity,boot_mean,ci_low,ci_high
P1,0.5795518493575962,0.5802450706764566,0.5479091206886689,0.6130063258392003
P2,0.30674545970426564,0.30603541923418126,0.27385647878186975,0.3382373256002478
P3,0.0003020317291491968,0.0003007627981399124,0.0002577706773362403,0.000347878620165076
P4,0.00019918422921882525,0.00019788477371057383,0.00017056750572106173,0.00022674063383487859
P5,0.0002233678755283492,0.00022304367117533894,0.0001949467303106872,0.0002554892810401678
P6,0.0011010396079406284,0.00110220424956706,0.0010041233088734418,0.0012071640199373464
P7,0.04308930745790319,0.04315324812926511,0.03973211889621798,0.046594241766107714
P8,0.03337974226636358,0.033423290483928995,0.03074496438573473,0.03624166405772767
P9,0.018011234385389967,0.017968948882819136,0.016100411103046976,0.019923711909259626
P10,0.017396783386644136,0.017350127100756455,0.01555510413334221,0.019213128594414614
