param,sensitivity,boot_mean,ci_low,ci_high
P1,0.38474578715871727,0.38480450168273994,0.3762351529476912,0.39369734594924344
P2,0.5523005228368605,0.5521618371593144,0.5433549723259666,0.5609674504816023
P3,0.0017825853044659897,0.0017836350011320534,0.001620561019047356,0.0019642827912512923
P4,0.0001805879769678791,0.0001804602234532903,0.00015855105561695196,0.00020627920619559353
P5,0.00010520750090877423,0.0001052566917072282,9.214918635769353e-05,0.00011907486983575989
P6,0.00010887510565697838,0.00010890255318444307,9.500937178803311e-05,0.00012426521221971845
P7,0.0016450523959578912,0.0016482170245104585,0.0014417500333785197,0.0018664812673017514
P8,0.001421542884301025,0.0014244721972051688,0.0012379224627864806,0.0016227119184105937
P9,0.03096651899137758,0.031015128474633197,0.027297888816181393,0.034977465953871995
P10,0.026743319844786766,0.026767588992120315,0.023655439369514225,0.030081488915032085
