param,w1,w1_mean,ci_low,ci_high
P1,-0.2916666535710269,-0.29305649760257513,-0.356890546823772,-0.23293291298448518
P2,-0.9038776725742882,-0.902669470969988,-0.9221840232325798,-0.8796558175661758
P3,-0.00018184819846355519,-0.00018028679781484266,-0.0006662003792572957,0.0003789582443305341
P4,-0.010628689876023851,-0.010611760737406366,-0.011389590072357684,-0.009842804321055141
P5,0.007277267698488761,0.007252046369425847,0.0060946565473463735,0.00840003469732873
P6,0.04004331827332108,0.040068213689817965,0.03737944925242826,0.04293006706964931
P7,-0.20712862910182375,-0.20726344369193203,-0.2225947557197211,-0.19267540427951277
P8,-0.1849916894418029,-0.1850863454660385,-0.19918570215875125,-0.17137296530484275
P9,-0.09709132325970181,-0.09676341359894458,-0.11507435408930537,-0.07666754902097629
P10,0.09805798757455393,0.09770062957616349,0.07681667343978486,0.11720763491109723
