eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,1.3875660417395526,1.3885377737380682,1.320939995675362,1.4609485445162438
2,0.0697017686800909,0.07004167365890906,0.05667124417374957,0.08544583056896236
3,0.014511935751674873,0.014528191741927965,0.012077345512189284,0.017256834493813853
4,0.002397234631801084,0.0024089766388848853,0.002025707149108104,0.0028071788139092595
5,0.0010308708003030902,0.0010753068976328132,0.000523105787272411,0.0017745180812413224
6,0.0005158381805203216,0.0005258970112686156,0.00035047813213032067,0.0007089714318875907
7,0.00037857616454487934,0.0003488478306351968,0.00020436352825463575,0.0005210110939999324
8,0.00017378306824626362,0.00017123531939201245,0.00011043095514472213,0.00025135794867695027
9,0.0001306304192888172,0.00011962114166663498,6.66342828311491e-05,0.0001735778612547804
10,0.00010672128635401478,7.652955430789152e-05,3.888053706871833e-05,0.0001382371139909346
