param,w1,w1_mean,ci_low,ci_high
P1,-0.8929154189889055,-0.892562592407852,-0.9038316715098925,-0.8802674310193788
P2,0.02146585456112065,0.021568820581676314,0.01606640992001421,0.027219958256178074
P3,-0.0015147031634145916,-0.0015198174920281796,-0.0021326678766206866,-0.0009468839056268244
P4,-0.008295075137564504,-0.00830436884639285,-0.009181238579529238,-0.007501637702082999
P5,0.0056005038563216245,0.005586290421299353,0.004360833938010589,0.006775536913323094
P6,0.06238137046249098,0.06243348972533323,0.05908588579709611,0.06599287015171477
P7,-0.3280815020975084,-0.3284472541256187,-0.3458709585661851,-0.31152955817253586
P8,-0.3008028266719457,-0.30112888320856485,-0.3171461077427307,-0.28581289031154933
P9,-0.009288665032363157,-0.009274664594497887,-0.011382667012386658,-0.007116016879559262
P10,0.006424651579659664,0.006401318352744058,0.004401073559254222,0.008411267127452661
