eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,7.642266654324494,7.648539223444946,7.4386638268943095,7.893281469455119
2,0.9245423853964372,0.9249421178019637,0.8272898835735564,1.0270599214756502
3,0.07129755226902208,0.07098230617873881,0.05391040976599753,0.08891588520215506
4,0.0025387571716571954,0.002547942072246163,0.0022229594909748455,0.0028929389629654065
5,0.0010737755634200583,0.0011195507573469488,0.0006313648477572346,0.0017710479275435465
6,0.0005492938772955786,0.0005670011919697226,0.00044667336090031335,0.0006951363495931394
7,0.0005136190810323442,0.00046374037847804136,0.00033705241968304495,0.0005761532520817919
8,0.00024814823330267504,0.00023794159455975267,0.00018545265193750736,0.0002928145949578725
9,0.00013476747002248395,0.00013027317260878344,9.795956646385675e-05,0.00016368430871782432
10,8.75723119215774e-05,7.875671882306756e-05,4.6433927169320466e-05,0.00010761793070160039
