param,w1,w1_mean,ci_low,ci_high
P1,0.9656292116061449,0.9653566590335685,0.9578527284953485,0.9721948710523791
P2,-0.12270555867136568,-0.12297609225050224,-0.1424342239454083,-0.10147810272619441
P3,0.010907964516248274,0.010929989798235772,0.003974429150581022,0.018157387697096117
P4,0.003682970335323462,0.0036405979774630794,-0.006435085727750519,0.013802281909036058
P5,0.009602402959976422,0.009711234155047058,0.0011863511532234027,0.020137673475688737
P6,-0.02411457365784708,-0.02425067117430743,-0.03266380738095904,-0.016591897615522506
P7,0.1651072114931818,0.1651123142038434,0.14511264324747408,0.18406799529634216
P8,0.1532336512700145,0.1532482920792788,0.13633718095409172,0.17025308239836887
P9,0.0037435796489086273,0.0037271243084732093,-0.007575819639781626,0.014856247478283005
P10,0.030697674849686794,0.030860636934305585,0.02012285594747724,0.041426938730969164
