param,sensitivity,boot_mean,ci_low,ci_high
P1,0.26838464371846354,0.2688016244864413,0.24280032169414523,0.29319966895944205
P2,0.5787985331326273,0.5783193306982725,0.552194014585598,0.6048747564754334
P3,4.1870464713811395e-05,4.2206851666738444e-05,3.644284209312955e-05,4.925177784884941e-05
P4,0.0001409465366589595,0.00014101942936238634,0.00012674234512412456,0.00015639119105865612
P5,0.00017439915494226558,0.00017431244547281362,0.00015300062602354467,0.00019704233909167046
P6,0.0016923739331266667,0.0016947587963690469,0.0015236308592553695,0.001874749626486843
P7,0.04593528112668537,0.04599230334340656,0.04142078397772982,0.050784174159029694
P8,0.037178659708231865,0.03721942309372318,0.033402168536861704,0.04115143500459267
P9,0.032395606682401004,0.03237629834347777,0.030261934036842093,0.0345313633276225
P10,0.03525768554214945,0.03523872251180755,0.03288025150359137,0.03758291039265689
