eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,10.67095981914982,10.67639567933711,10.380790558288682,10.97403359908225
2,1.207008161006983,1.2122574581462158,1.0838120832624218,1.3448982921578219
3,0.7730296424156964,0.7655615559279114,0.6819009254386363,0.8545623276249009
4,0.010570190400330996,0.010500013742796247,0.00928574512069394,0.011776266087453597
5,0.0010722701327741202,0.0011315355711964382,0.0007622977011411774,0.0017369720130624698
6,0.0006676900285084973,0.0006511630495214801,0.0004969671805480026,0.0008103436466590904
7,0.0004925899357197087,0.0004780492561951539,0.00035807673528934854,0.0005858574426009016
8,0.00033266426877459306,0.0003187979171593123,0.00024899176341761564,0.0003859891004749867
9,0.00013560421146567516,0.00013181085969862642,0.00010537005401603886,0.0001626314864200697
10,9.489604923638886e-05,8.982777033662116e-05,6.692588672087789e-05,0.00011239347720939686
