          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
C6H5C2H3+BIN13	     2287.18    -1.97212           1   0.0108795  0.00124643
C6H5C2H3+BIN14	     2166.39    -1.97296           1   0.0102512  0.00117337
C6H5C2H3+BIN15	      2040.1    -1.97386           1  0.00959997  0.00109774
C6H5C2H3+BIN16	     1915.74    -1.97476           1  0.00896429  0.00102404
C6H5C2H3+BIN17	     1795.18    -1.97566           1  0.00835346 0.000953318
C6H5C2H3+BIN18	     1679.75    -1.97654           1  0.00777366 0.000886292
C6H5C2H3+BIN19	      1570.3     -1.9774           1  0.00722853 0.000823364
C6H5C2H3+BIN20	     1467.31    -1.97823           1  0.00671972 0.000764712
C6H5C2H3+BIN21	     1370.95    -1.97902           1  0.00624746 0.000710347
C6H5C2H3+BIN22	     1281.21    -1.97978           1  0.00581093 0.000660159
C6H5C2H3+BIN23	     1197.91    -1.98051           1  0.00540862 0.000613964
C6H5C2H3+BIN24	     1120.77     -1.9812           1  0.00503861 0.000571527
XYLENE+BIN 1	     3277.15    -1.96574           1   0.0162194  0.00187129
XYLENE+BIN 2	     3077.12    -1.96697           1   0.0151134  0.00174133
XYLENE+BIN 3	     2977.86    -1.96759           1   0.0145696  0.00167753
XYLENE+BIN 4	     2945.38    -1.96779           1   0.0143924  0.00165675
XYLENE+BIN 5	     2933.47    -1.96787           1   0.0143275  0.00164915
XYLENE+BIN 6	     2918.57    -1.96796           1   0.0142464  0.00163964
XYLENE+BIN 7	     2890.07    -1.96814           1   0.0140914  0.00162149
XYLENE+BIN 8	     2840.94    -1.96845           1    0.013825  0.00159028
XYLENE+BIN 9	     2770.97     -1.9689           1    0.013447  0.00154603
XYLENE+BIN10	     2681.98    -1.96948           1   0.0129686  0.00149009
XYLENE+BIN11	     2577.32    -1.97016           1   0.0124095  0.00142478
XYLENE+BIN12	     2461.05    -1.97094           1   0.0117928  0.00135282
XYLENE+BIN13	     2337.23    -1.97178           1   0.0111413  0.00127691
XYLENE+BIN14	     2214.58    -1.97262           1   0.0105013  0.00120243
XYLENE+BIN15	      2086.2    -1.97353           1  0.00983704  0.00112526
XYLENE+BIN16	     1959.65    -1.97444           1  0.00918813  0.00104998
XYLENE+BIN17	     1836.88    -1.97535           1  0.00856415 0.000977699
XYLENE+BIN18	     1719.25    -1.97624           1  0.00797151 0.000909153
XYLENE+BIN19	     1607.65     -1.9771           1  0.00741402 0.000844767
XYLENE+BIN20	     1502.57    -1.97794           1  0.00689347 0.000784732
XYLENE+BIN21	     1404.23    -1.97874           1  0.00641012 0.000729064
XYLENE+BIN22	     1312.59    -1.97951           1   0.0059632 0.000677658
XYLENE+BIN23	      1227.5    -1.98025           1   0.0055512 0.000630329
XYLENE+BIN24	     1148.67    -1.98095           1  0.00517218 0.000586841
C6H5C2H5+BIN 1	     3277.15    -1.96574           1   0.0162194  0.00187129
C6H5C2H5+BIN 2	     3077.12    -1.96697           1   0.0151134  0.00174133
C6H5C2H5+BIN 3	     2977.86    -1.96759           1   0.0145696  0.00167753
C6H5C2H5+BIN 4	     2945.38    -1.96779           1   0.0143924  0.00165675
C6H5C2H5+BIN 5	     2933.47    -1.96787           1   0.0143275  0.00164915
C6H5C2H5+BIN 6	     2918.57    -1.96796           1   0.0142464  0.00163964
C6H5C2H5+BIN 7	     2890.07    -1.96814           1   0.0140914  0.00162149
C6H5C2H5+BIN 8	     2840.94    -1.96845           1    0.013825  0.00159028
C6H5C2H5+BIN 9	     2770.97     -1.9689           1    0.013447  0.00154603
C6H5C2H5+BIN10	     2681.98    -1.96948           1   0.0129686  0.00149009
C6H5C2H5+BIN11	     2577.32    -1.97016           1   0.0124095  0.00142478
C6H5C2H5+BIN12	     2461.05    -1.97094           1   0.0117928  0.00135282
C6H5C2H5+BIN13	     2337.23    -1.97178           1   0.0111413  0.00127691
C6H5C2H5+BIN14	     2214.58    -1.97262           1   0.0105013  0.00120243
