          	      Aprime      nprime         r^2Reduced mass       500 K      1500 K
C6H5CCC6H5+BIN18	     3150.89    -1.96651           1   0.0155197  0.00178904
C6H5CCC6H5+BIN19	     2968.35    -1.96765           1   0.0145177  0.00167144
C6H5CCC6H5+BIN20	     2793.83    -1.96876           1   0.0135703  0.00156046
C6H5CCC6H5+BIN21	     2628.24    -1.96983           1    0.012681  0.00145649
C6H5CCC6H5+BIN22	     2472.08    -1.97086           1   0.0118511  0.00135962
C6H5CCC6H5+BIN23	     2325.48    -1.97186           1   0.0110797  0.00126974
C6H5CCC6H5+BIN24	     2188.32    -1.97281           1   0.0103649  0.00118658
C13H8CH2+BIN 1	     4614.43    -1.95803    0.999999   0.0239587  0.00278771
C13H8CH2+BIN 2	     4469.41    -1.95883    0.999999   0.0230905  0.00268432
C13H8CH2+BIN 3	     4446.48    -1.95896    0.999999   0.0229538  0.00266806
C13H8CH2+BIN 4	     4506.02    -1.95862    0.999999    0.023309  0.00271033
C13H8CH2+BIN 5	     4585.99    -1.95818    0.999999   0.0237879  0.00276736
C13H8CH2+BIN 6	     4648.45    -1.95784    0.999999   0.0241634   0.0028121
C13H8CH2+BIN 7	     4679.42    -1.95767    0.999999   0.0243501  0.00283436
C13H8CH2+BIN 8	     4672.82    -1.95771    0.999999   0.0243102  0.00282961
C13H8CH2+BIN 9	     4624.57    -1.95797    0.999999   0.0240196  0.00279497
C13H8CH2+BIN10	     4536.94    -1.95845    0.999999   0.0234939  0.00273234
C13H8CH2+BIN11	      4415.1    -1.95913    0.999999   0.0227671  0.00264585
C13H8CH2+BIN12	     4265.66    -1.95997    0.999999   0.0218825  0.00254071
C13H8CH2+BIN13	     4095.68    -1.96093    0.999999   0.0208854  0.00242239
C13H8CH2+BIN14	      3919.2    -1.96194    0.999999   0.0198604  0.00230094
C13H8CH2+BIN15	     3727.66    -1.96305           1   0.0187597  0.00217077
C13H8CH2+BIN16	     3533.21     -1.9642           1   0.0176549  0.00204035
C13H8CH2+BIN17	     3339.92    -1.96535           1   0.0165692  0.00191245
C13H8CH2+BIN18	     3150.89    -1.96651           1   0.0155197  0.00178904
C13H8CH2+BIN19	     2968.35    -1.96765           1   0.0145177  0.00167144
C13H8CH2+BIN20	     2793.83    -1.96876           1   0.0135703  0.00156046
C13H8CH2+BIN21	     2628.24    -1.96983           1    0.012681  0.00145649
C13H8CH2+BIN22	     2472.08    -1.97086           1   0.0118511  0.00135962
C13H8CH2+BIN23	     2325.48    -1.97186           1   0.0110797  0.00126974
C13H8CH2+BIN24	     2188.32    -1.97281           1   0.0103649  0.00118658
C6H5C2H4C6H5+BIN 1	     4677.98    -1.95768    0.999999   0.0243414  0.00283332
C6H5C2H4C6H5+BIN 2	     4536.76    -1.95845    0.999999   0.0234928  0.00273221
C6H5C2H4C6H5+BIN 3	     4518.62    -1.95856    0.999999   0.0233843  0.00271929
C6H5C2H4C6H5+BIN 4	     4583.71     -1.9582    0.999999   0.0237742  0.00276572
C6H5C2H4C6H5+BIN 5	     4669.22    -1.95773    0.999999   0.0242886  0.00282702
C6H5C2H4C6H5+BIN 6	     4736.46    -1.95736    0.999999   0.0246947  0.00287546
C6H5C2H4C6H5+BIN 7	     4771.27    -1.95717    0.999999   0.0249056  0.00290063
C6H5C2H4C6H5+BIN 8	     4767.67    -1.95719    0.999999   0.0248838  0.00289802
C6H5C2H4C6H5+BIN 9	     4721.32    -1.95744    0.999999   0.0246032  0.00286454
C6H5C2H4C6H5+BIN10	     4634.52    -1.95792    0.999999   0.0240795   0.0028021
C6H5C2H4C6H5+BIN11	     4512.47    -1.95859    0.999999   0.0233475  0.00271492
C6H5C2H4C6H5+BIN12	     4361.93    -1.95943    0.999999   0.0224515  0.00260833
C6H5C2H4C6H5+BIN13	     4190.11    -1.96039    0.999999   0.0214381  0.00248796
C6H5C2H4C6H5+BIN14	     4011.28    -1.96141    0.999999   0.0203939  0.00236413
C6H5C2H4C6H5+BIN15	     3816.85    -1.96253    0.999999   0.0192707  0.00223118
C6H5C2H4C6H5+BIN16	     3619.19    -1.96369           1   0.0181419  0.00209781
C6H5C2H4C6H5+BIN17	     3422.48    -1.96486           1   0.0170314  0.00196687
C6H5C2H4C6H5+BIN18	     3229.92    -1.96602           1    0.015957  0.00184043
C6H5C2H4C6H5+BIN19	     3043.82    -1.96717           1   0.0149305  0.00171987
C6H5C2H4C6H5+BIN20	     2865.75     -1.9683           1   0.0139595  0.00160603
C6H5C2H4C6H5+BIN21	     2696.71    -1.96938           1   0.0130476  0.00149932
C6H5C2H4C6H5+BIN22	     2537.19    -1.97043           1   0.0121961  0.00139987
C6H5C2H4C6H5+BIN23	     2387.36    -1.97144           1   0.0114044  0.00130756
C6H5C2H4C6H5+BIN24	     2247.13     -1.9724           1   0.0106706  0.00122212
C16H10+BIN 1	     4982.72    -1.95602    0.999999   0.0261953  0.00305467
C16H10+BIN 2	     4860.99    -1.95668    0.999999   0.0254511  0.00296574
C16H10+BIN 3	      4867.2    -1.95665    0.999999   0.0254889  0.00297026
C16H10+BIN 4	     4960.25    -1.95614    0.999999   0.0260576  0.00303821
C16H10+BIN 5	     5073.76    -1.95553    0.999999   0.0267553  0.00312165
C16H10+BIN 6	     5165.23    -1.95504    0.999999   0.0273207  0.00318933
C16H10+BIN 7	     5219.72    -1.95475    0.999999   0.0276589  0.00322984
C16H10+BIN 8	     5231.72    -1.95469    0.999999   0.0277335  0.00323878
C16H10+BIN 9	     5195.64    -1.95488    0.999999   0.0275093  0.00321192
C16H10+BIN10	     5113.74    -1.95532    0.999999   0.0270021  0.00315118
C16H10+BIN11	     4991.58    -1.95597    0.999999   0.0262497  0.00306117
C16H10+BIN12	     4836.47    -1.95681    0.999999   0.0253017   0.0029479
C16H10+BIN13	     4656.32     -1.9578    0.999999   0.0242108  0.00281775
C16H10+BIN14	     4466.62    -1.95884    0.999999   0.0230738  0.00268234
C16H10+BIN15	     4258.59    -1.96001    0.999999   0.0218409  0.00253577
C16H10+BIN16	     4045.64    -1.96121    0.999999   0.0205937  0.00238781
C16H10+BIN17	     3832.54    -1.96244    0.999999   0.0193609  0.00224184
C16H10+BIN18	     3622.95    -1.96366           1   0.0181632  0.00210033
C16H10+BIN19	      3419.6    -1.96487           1   0.0170153  0.00196497
C16H10+BIN20	     3224.36    -1.96606           1   0.0159262  0.00183681
C16H10+BIN21	     3038.45    -1.96721           1   0.0149011  0.00171642
C16H10+BIN22	     2862.54    -1.96832           1    0.013942  0.00160399
C16H10+BIN23	     2696.91    -1.96938           1   0.0130487  0.00149945
C16H10+BIN24	     2541.55     -1.9704           1   0.0122192  0.00140257
C18H10+BIN 1	     5322.68     -1.9542    0.999999   0.0283005  0.00330676
C18H10+BIN 2	     5225.21    -1.95472    0.999999    0.027693  0.00323393
C18H10+BIN 3	     5261.13    -1.95453    0.999999   0.0279165  0.00326072
C18H10+BIN 4	     5387.99    -1.95386    0.999999   0.0287095  0.00335582
C18H10+BIN 5	     5535.39    -1.95308    0.999999   0.0296377  0.00346728
C18H10+BIN 6	     5656.46    -1.95245    0.999999   0.0304056   0.0035596
C18H10+BIN 7	     5735.31    -1.95203    0.999999   0.0309085  0.00362011
C18H10+BIN 8	      5767.1    -1.95187    0.999999   0.0311118  0.00364458
C18H10+BIN 9	     5744.66    -1.95198    0.999999   0.0309682   0.0036273
C18H10+BIN10	     5670.19    -1.95237    0.999999   0.0304931  0.00357012
C18H10+BIN11	      5549.6    -1.95301    0.999999   0.0297276  0.00347808
C18H10+BIN12	     5390.81    -1.95384    0.999999   0.0287272  0.00335794
C18H10+BIN13	     5202.49    -1.95484    0.999999   0.0275518  0.00321701
C18H10+BIN14	     5001.46    -1.95592    0.999999   0.0263104  0.00306843
C18H10+BIN15	     4778.82    -1.95713    0.999999   0.0249514  0.00290609
C18H10+BIN16	     4549.14    -1.95839    0.999999   0.0235669  0.00274104
C18H10+BIN17	     4317.84    -1.95967    0.999999   0.0221906  0.00257731
C18H10+BIN18	     4089.18    -1.96096    0.999999   0.0208475  0.00241789
C18H10+BIN19	     3866.34    -1.96224    0.999999   0.0195554  0.00226485
C18H10+BIN20	     3651.56     -1.9635           1   0.0183258  0.00211952
C18H10+BIN21	     3446.35    -1.96471           1   0.0171655  0.00198266
C18H10+BIN22	      3251.6    -1.96589           1   0.0160774  0.00185458
C18H10+BIN23	     3067.74    -1.96702           1   0.0150618  0.00173527
C18H10+BIN24	     2894.84    -1.96811           1   0.0141173  0.00162452
C18H14+BIN 1	     5376.89    -1.95392    0.999999   0.0286399  0.00334746
C18H14+BIN 2	     5283.52    -1.95441    0.999999   0.0280561  0.00327745
C18H14+BIN 3	     5324.42    -1.95419    0.999999   0.0283114  0.00330806
C18H14+BIN 4	     5456.92    -1.95349    0.999999   0.0291426  0.00340781
C18H14+BIN 5	     5609.97    -1.95269    0.999999   0.0301102  0.00352407
C18H14+BIN 6	     5736.01    -1.95203    0.999999   0.0309129  0.00362064
C18H14+BIN 7	     5818.97     -1.9516    0.999999   0.0314444  0.00368463
C18H14+BIN 8	     5854.15    -1.95141    0.999999   0.0316704  0.00371186
C18H14+BIN 9	     5834.09    -1.95152    0.999999   0.0315415  0.00369633
C18H14+BIN10	     5761.01     -1.9519    0.999999   0.0310728  0.00363989
C18H14+BIN11	     5640.84    -1.95253    0.999999   0.0303063  0.00354765
C18H14+BIN12	     5481.61    -1.95336    0.999999   0.0292981  0.00342649
C18H14+BIN13	     5292.09    -1.95437    0.999999   0.0281095  0.00328386
C18H14+BIN14	     5089.35    -1.95545    0.999999   0.0268514  0.00313315
C18H14+BIN15	     4864.44    -1.95666    0.999999   0.0254721  0.00296824
C18H14+BIN16	     4632.13    -1.95793    0.999999   0.0240651  0.00280039
C18H14+BIN17	     4397.95    -1.95923    0.999999   0.0226652  0.00263373
C18H14+BIN18	     4166.24    -1.96053    0.999999   0.0212982  0.00247134
C18H14+BIN19	     3940.27    -1.96182    0.999999   0.0199822  0.00231537
C18H14+BIN20	     3722.35    -1.96308           1   0.0187294  0.00216719
C18H14+BIN21	     3514.03    -1.96431           1   0.0175466  0.00202758
C18H14+BIN22	     3316.22     -1.9655           1    0.016437  0.00189689
C18H14+BIN23	     3129.39    -1.96664           1   0.0154011  0.00177511
C18H14+BIN24	     2953.64    -1.96774           1   0.0144374  0.00166203
