Epoch,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Loss
0,0.528447,0.50575835,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0695727169513702
1,0.5543097,0.5292372,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9897118881344795
2,0.5787654,0.5528991,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9178142721454302
3,0.6018526,0.57536954,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8603483078380426
4,0.62316716,0.5963095,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8118477749327818
5,0.64242584,0.61491734,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7765734133621057
6,0.65989053,0.63101286,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7522029305497805
7,0.67600906,0.6449488,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7338235254089037
8,0.6909306,0.6571684,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7165854275226593
9,0.7048018,0.66678816,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.703041230638822
10,0.717564,0.6732654,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6917167007923126
11,0.72899115,0.67661875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6838641812403997
12,0.73895675,0.67735004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6783925344546636
13,0.7477479,0.6751861,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6740623613198599
14,0.75558466,0.6703316,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6684834112723669
15,0.762561,0.6634283,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6627865781386694
16,0.76859796,0.6549099,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6567838490009308
17,0.7736975,0.645516,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6517161627610525
18,0.7780425,0.6353994,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.646687721212705
19,0.781757,0.62488145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6421904116868973
20,0.7850339,0.614516,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6380096723635992
21,0.78793967,0.60444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6347797264655431
22,0.79052347,0.59460646,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6316793660322825
23,0.79282576,0.5851458,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6288547217845917
24,0.794936,0.57605284,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6264105339845022
25,0.7970172,0.56686795,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6238591720660528
26,0.7990991,0.5578162,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6212547371784846
27,0.8011928,0.54894453,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6188259969154993
28,0.80333173,0.54028463,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6165425231059393
29,0.8054609,0.5318958,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6144529307881991
30,0.80754894,0.5237627,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6125179355343183
31,0.8095719,0.5159287,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6107355877757072
32,0.8115196,0.50831604,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6090711082021395
33,0.81333524,0.5009793,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6076324159900347
34,0.81498706,0.49402115,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6064206237594286
35,0.81656915,0.48709172,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6051898871858915
36,0.8180836,0.48021266,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6038827573259672
37,0.81951314,0.47344267,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6026727532347044
38,0.82082796,0.46701595,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6018640225132307
39,0.8219892,0.4611466,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6011901323994001
40,0.8229766,0.45564568,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6005146652460098
41,0.82381684,0.45044276,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5999580745895704
42,0.824505,0.4457791,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5995739872256914
43,0.8249542,0.44207507,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5994747206568718
44,0.82521254,0.43909457,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5994176094730695
45,0.82532364,0.4366611,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993737404545149
46,0.82543707,0.43473867,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.599346232910951
47,0.8257393,0.43336782,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993301098545393
48,0.82616776,0.43241176,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993086025118828
49,0.8266684,0.43176594,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992853790521622
50,0.82708246,0.43125004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992891763647398
51,0.82721746,0.43065742,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993027289708456
52,0.8271411,0.43000922,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993043531974157
53,0.8270312,0.42942694,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993115479747454
54,0.8271008,0.42907578,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993054683009783
55,0.8272996,0.4288977,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992951542139053
56,0.8275827,0.42884773,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992824162046114
57,0.827794,0.42878282,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992931053042412
58,0.8277405,0.42851946,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993072142203649
59,0.8276152,0.42822087,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993075122435888
60,0.82764703,0.42808825,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993016014496485
61,0.82767326,0.42796683,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992935597896576
62,0.8276112,0.42777464,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993117814262708
63,0.8276923,0.42772627,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993043382962545
64,0.82787395,0.42778417,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992948586742083
65,0.8279974,0.42780268,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993013630310694
66,0.8278648,0.42759094,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993123973409334
67,0.8276751,0.42732936,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993246088425318
68,0.8276626,0.42723718,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.599319172402223
69,0.82778114,0.42727125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993102863430977
70,0.8279888,0.42739755,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5992999027172724
71,0.8281256,0.42746735,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993069956700007
72,0.8279923,0.427284,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993202353517214
73,0.8277941,0.42703968,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993302538990974
74,0.82777154,0.42696658,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.599324402709802
75,0.82787937,0.42702088,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993156209588051
76,0.82807624,0.4271681,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5993051528930664
