eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,2.3952789060621678,2.3957749952216805,2.3649923935870962,2.4267662684406046
2,0.08859302951713002,0.0885835056789299,0.07993381750781911,0.09730449235538456
3,0.024511767181717284,0.02445441244366067,0.023087055740224145,0.025769050504050973
4,0.002824470600821967,0.0028216233276462358,0.0026582242832250903,0.002986948748230488
5,0.0008588365549822507,0.0009699101871856261,0.0006633448182683051,0.0015322802467924582
6,0.0007180236778078438,0.0006328100596639318,0.00030983337914328055,0.0009992657243864703
7,0.00030599019801583806,0.0002853419981542847,0.00017409888847488177,0.00043702888989869554
8,0.00015311945788572015,0.00015433921739472638,0.00011900232827448616,0.00019721817616623994
9,0.00013398850920281642,0.00010836102181014739,6.867219151455894e-05,0.0001594229159056406
10,7.89276215230712e-05,7.182487839157009e-05,4.912011415047361e-05,8.734090370239119e-05
