eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,0.07816108136867021,0.07829064874431352,0.07396672217812596,0.08297923764843043
2,0.004117073656324251,0.004398360023822158,0.00353367564787074,0.006156125240894875
3,0.0025812036810960795,0.002808603770364883,0.0017012184720190508,0.004322491911903373
4,0.001668891856533145,0.0018050679333025954,0.0011130565924458299,0.0025994727612050606
5,0.0013466973305216907,0.0012315497379205285,0.0006958216242792727,0.001964233338937486
6,0.0008499377619052768,0.0008286505233307422,0.00046757939996869106,0.0012476696300715198
7,0.0006632934187468793,0.0006094282126168093,0.0003141608333737141,0.0009506968836122118
8,0.000656063157208678,0.0004375630374942599,0.00019846684682205424,0.0007114595403311877
9,0.00041991478806777284,0.000274483682126611,0.00011261025468679198,0.0004927096774839438
10,0.00015526894381443933,0.0001208641067491311,5.015407455707708e-05,0.00019752641025908612
