eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,0.4852342086443139,0.48539196284719144,0.47894868945408653,0.4923202891999693
2,0.00796442153252851,0.008026064098803336,0.0073098550234727035,0.008897444894071729
3,0.0025401956642685606,0.0027520611409017964,0.0017887184002853425,0.004120959361428465
4,0.001500787092035944,0.001616527796403116,0.000878386032549042,0.0024690628763609037
5,0.0009958161356391606,0.000955596323451733,0.0005366545624718899,0.0015725409908360487
6,0.0006107077263849485,0.0006284218560299494,0.00035742846170717143,0.0009455439015217546
7,0.0005418213832419232,0.00046384423410621124,0.00024026217100593664,0.000712042158930941
8,0.0004731600569749074,0.00032609433963319264,0.00015209607403356758,0.0005418150730949549
9,0.0002805910404147242,0.0001964843043974974,7.935627635565967e-05,0.0003523549972996527
10,0.00010823297650132532,8.512686074573163e-05,3.301541983071207e-05,0.00013648632612825389
