param,sensitivity,boot_mean,ci_low,ci_high
P1,0.8210317597844131,0.8209658355315927,0.8139973083736037,0.8271853187544939
P2,0.028191624833684027,0.028160502932487327,0.025658333554367602,0.030918653949761583
P3,0.0001236708780462243,0.0001238824995744595,9.015107705727028e-05,0.00016152633284769005
P4,0.00022192700539802607,0.00022163216291284755,0.00017015978104580084,0.0002845174534448136
P5,0.00017753090613991884,0.00017798499357777063,0.00011618747862810708,0.00026514909363069326
P6,0.003387143754290404,0.0033892131176830407,0.0032313942715931666,0.0035503891165971683
P7,0.06771549261867142,0.0677554109425863,0.06544007861671663,0.07035776524790519
P8,0.0752717531581371,0.07532605319858034,0.0728443039552452,0.07790603482651595
P9,0.0013335167051531788,0.0013325178407133768,0.0011341961446358862,0.0015932050718128067
P10,0.002545580356066614,0.002546966780290799,0.0022136398282395007,0.0029166355658409634
