param,sensitivity,boot_mean,ci_low,ci_high
P1,0.8433711842334405,0.843258340490624,0.8372099092225307,0.8487335417266181
P2,0.0035680581836822992,0.0035715911387311948,0.003018644670252198,0.004234850412824233
P3,0.00040827091679919257,0.0004118112653715542,0.00025723273380121985,0.0005905159725803304
P4,0.000583655244164141,0.0005850749344220479,0.0003938789143641983,0.0008197038274841821
P5,0.00047305356322614717,0.0004759059603488465,0.00020898822653324172,0.000805139763121853
P6,0.0036554538305826325,0.0036558453058953876,0.0033122545152563976,0.004162543011097576
P7,0.06890342386327468,0.06893736397989597,0.06647715978982503,0.071686775232952
P8,0.07677462520345343,0.07683742568280663,0.07415823899789127,0.07960495675925691
P9,0.0009071763500187724,0.0009046456167244244,0.0005230247399110423,0.0015334210723394167
P10,0.001355098611357053,0.001361995625180206,0.001029307785353404,0.0017359513925580428
