eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,1.3132913979856773,1.3135368855089624,1.2964398762392166,1.3311890419968615
2,0.11797385451783814,0.11795142848615715,0.10799508774723458,0.12778531477124708
3,0.015044671710867909,0.015020322298981854,0.014151679694543074,0.015871172428199035
4,0.004850397137201074,0.004831953510762958,0.0045809318380995315,0.005083054191067245
5,0.0005750030312343598,0.0006246134429310279,0.00038169424207515145,0.0010825433353495294
6,0.000446337052469006,0.000418787958463393,0.0002980664162335834,0.0005637685413002975
7,0.00022448163227003367,0.000212020487429993,0.00013675592684819828,0.00030600401820812947
8,0.0001303511582747342,0.00012479425927460863,0.00010169010389096538,0.0001483083073262366
9,8.356518118969929e-05,8.177446383482444e-05,6.133269946568711e-05,0.00011816389097764012
10,7.388563239289143e-05,6.0301873854040755e-05,3.476517231484558e-05,7.917281138796893e-05
