param,sensitivity,boot_mean,ci_low,ci_high
P1,0.3742699945595713,0.3743727677824905,0.3477830194586241,0.4016027280328221
P2,0.45086839466366607,0.4506672332522597,0.4200420120354407,0.4799458371233598
P3,0.006321032911364412,0.006320419163338998,0.005501570477281198,0.0072979116365855965
P4,0.0001205186357585076,0.00012102954721176163,9.228689297529999e-05,0.00015507320666466288
P5,0.00021933845823610801,0.00022133732541425002,0.00017271571731077533,0.0002850083105309685
P6,0.0008507427743901818,0.0008517240684245039,0.0007591605532820022,0.0009419243925222359
P7,0.04704287444169012,0.047131397259919466,0.043344243211721666,0.05137584523827316
P8,0.037076550560939454,0.037132412879367166,0.03411578723698084,0.0405641769266227
P9,0.046288059842724355,0.04626003437713421,0.04221694744881272,0.05046848236701811
P10,0.03694249315165995,0.036921644344439376,0.03371793176724818,0.040342029009898354
