param,w1,w1_mean,ci_low,ci_high
P1,-0.32066491441978756,-0.32097834563274613,-0.35397094440218996,-0.2897441504547938
P2,-0.8734732651924577,-0.8729986986229943,-0.8899028243753514,-0.8536262514357177
P3,-0.03435533324830944,-0.034273452387008733,-0.0408692883370397,-0.028002080381512622
P4,-0.003177822196677125,-0.003177984135667106,-0.004050898237582752,-0.002298715146831035
P5,0.00965441819599984,0.009674194288370283,0.008583159366652725,0.010711273400453336
P6,0.026097945693159368,0.026154562702891987,0.024145529008419563,0.028302025045110306
P7,-0.2482131134119916,-0.2483166739928793,-0.25913209700810125,-0.23801858837777187
P8,-0.22694169482791243,-0.22701396473891244,-0.23671395911754028,-0.2180128122720315
P9,0.10211071037012119,0.10182948268385966,0.08076918204989136,0.1248455357073689
P10,-0.0933535747801028,-0.093078482742506,-0.11377563547541496,-0.07379123323349562
