eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,8.663054106310932,8.67273762154631,8.374419237530091,8.961945752947981
2,1.8405872843635438,1.8424551936428581,1.6777100701031777,2.014489636612472
3,0.706133819431424,0.7044470869296968,0.6517659228550606,0.7567525982277746
4,0.25481259543948725,0.2540436966560072,0.23140032768931484,0.27528326312857493
5,0.021880202160737834,0.021838797476010096,0.01831906710448744,0.025271882431776634
6,0.0044378505726970574,0.004558825095961831,0.00276613382178135,0.007112277442770088
7,0.002455276709878336,0.0023965029024839673,0.0018990816372552357,0.0030234064789667506
8,0.0011618242837108702,0.0011497608249195278,0.00092519701924249,0.0014994520488996654
9,0.0008790939300055865,0.0008528264640499774,0.0007222865337741307,0.00098149494333617
10,0.00046771193417118284,0.0004533336462590164,0.000294919525589869,0.0006402743184375085
