Epoch,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Loss
0,0.5293795,0.50370246,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.30385616421699524
1,0.5579633,0.5224405,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2596962129076322
2,0.58518964,0.5422367,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.22699564695358276
3,0.61009467,0.56129265,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.20579825962583223
4,0.63139826,0.5768603,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19581819449861845
5,0.6478806,0.5867699,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19402193774779639
6,0.6598549,0.59044254,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.194863090912501
7,0.66753185,0.58804125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19601477310061455
8,0.67118794,0.5810846,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19627340758840242
9,0.6726384,0.5705431,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19534285739064217
10,0.6730178,0.55817527,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19371420393387476
11,0.6724511,0.54596514,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19277438645561537
12,0.6710448,0.53527814,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.192288671930631
13,0.6694127,0.5264632,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1920593356092771
14,0.6681287,0.51960284,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19201921919981638
15,0.66763467,0.5146001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19204126422603926
16,0.66782254,0.51151156,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19206883137424788
17,0.66840297,0.51014596,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19207938263813654
18,0.6692341,0.5101325,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.19205412144462267
