param,sensitivity,boot_mean,ci_low,ci_high
P1,0.6670442858153324,0.6667070934396704,0.6343708372336617,0.6966398018053526
P2,0.00848163570178574,0.00845289306190568,0.007153386869458501,0.00996719126620958
P3,0.0003449245445806919,0.00034460204628866355,0.000275061713957941,0.00042603362068005003
P4,0.0002589503220057929,0.00025812540085064304,0.0002227170735281072,0.0002968455249475206
P5,0.00023553624862859206,0.0002362835902812654,0.0001881826028201968,0.00028835665111367743
P6,0.0034081015337758492,0.003411931635046644,0.003054081266586308,0.0037891742333115
P7,0.16632830840771168,0.16652445673630367,0.15104651067283406,0.18358495021102403
P8,0.1501147260421159,0.15029135130782229,0.13631730571643244,0.16555064393343896
P9,0.0024310926937348132,0.002423556708333572,0.0019652398696012605,0.002917951627570642
P10,0.0013524386903273763,0.0013497060734976713,0.001110719169187384,0.00161520759581735
