param,sensitivity,boot_mean,ci_low,ci_high
P1,0.5684061670911347,0.5680590666006046,0.5350870695900033,0.5997353280865041
P2,0.010963381029785776,0.01090213102011499,0.008453946747188136,0.013556372796299053
P3,0.00029509389475655884,0.0002953105162611102,0.00023665734408953685,0.00036314233123335243
P4,0.00022783051296786788,0.00022712271566829013,0.00019899395661420957,0.0002585482230552022
P5,0.00021651821408515237,0.00021721430751914345,0.0001755063367204923,0.0002607767380642203
P6,0.004368124143826687,0.004373113999664349,0.004013184404625654,0.0047481278887139015
P7,0.21636751842472216,0.2165894642413785,0.20000498910413728,0.23423315704923464
P8,0.19497070878693382,0.19516692926181353,0.18018273127105336,0.21109946993990142
P9,0.0027051311969544492,0.002694051432269785,0.0021098649189938375,0.003302536900116041
P10,0.0014795267048328593,0.0014755959047056072,0.0011722436566716555,0.001801051365355896
