param,w1,w1_mean,ci_low,ci_high
P1,-0.8429979459606218,-0.8420159218121828,-0.867352956264476,-0.8141551930065466
P2,-0.23397235494480134,-0.234293248246042,-0.26905421374379646,-0.20246347741395565
P3,-0.0009723495045830723,-0.0009667590045266481,-0.0021071824634037524,0.00018852667845836068
P4,-0.005788107936299235,-0.005786085288995654,-0.006614642472366785,-0.004978113945860221
P5,0.0060742445099515605,0.006107531872128058,0.004994317073110001,0.007256410776431653
P6,0.05005613284591321,0.05011166765960941,0.0461669480140547,0.054086576654004535
P7,-0.34900721786051087,-0.34941942483145066,-0.377189515963736,-0.32014522183269295
P8,-0.32925268255143386,-0.32963576212090195,-0.3557733080193759,-0.302051463129397
P9,-0.034733878722738996,-0.034990283055031386,-0.04654539953146467,-0.024555216336334847
P10,0.02479173797227141,0.024994572800668368,0.016598884560084955,0.03396566404349395
