param,w1,w1_mean,ci_low,ci_high
P1,0.1904899069985067,0.19035847918833565,0.18273049183872148,0.1978990904516864
P2,-0.9495063069524647,-0.9495293320621196,-0.9508634744029327,-0.9481930469651457
P3,-0.03239385559532231,-0.03242823283496887,-0.034464226043703125,-0.030806711495253512
P4,-0.003328765351889029,-0.0032930481693525682,-0.005485399827069307,-0.0009175042744854103
P5,0.011203075047432532,0.011260293819865359,0.008979708025513065,0.0135642856318924
P6,0.032618906223857595,0.03274231311331914,0.02965860927446286,0.03551921316341441
P7,-0.16878623161968367,-0.1686199400982746,-0.17308221078962213,-0.16479616550336595
P8,-0.17052890214457142,-0.1705684466390759,-0.17343331735047676,-0.16780479639684187
P9,0.02891348807561138,0.028922433960668154,0.023159431338806078,0.034594337836355724
P10,-0.038685083076408174,-0.03860626665974842,-0.044654403836868736,-0.0332300524709224
