eig_idx,eigenvalue,boot_mean,ci_low,ci_high
1,0.10974279420059783,0.10977102392552046,0.10797037316654295,0.11149626697625163
2,0.005428813537651434,0.005661797759647567,0.004802844448750265,0.00730862055585627
3,0.0028943149937697096,0.0029877179519884004,0.000997029477915077,0.005538776033205317
4,0.0011589178694363866,0.0011792127076040641,0.0004970670629261718,0.0019739300577052946
5,0.0008262281049485587,0.0007084151667087569,0.00035458822967918976,0.001335377465698805
6,0.0004300194883596541,0.00044460470767520265,0.0002475138890185457,0.0007312791157356935
7,0.00038209796036292945,0.000328610088071032,0.0001692515010810387,0.0005074691956125098
8,0.000329570075384269,0.00023252745829046304,8.683341725034212e-05,0.00037645953606727656
9,0.00021106966246787234,0.00014188256851339277,4.617024306996456e-05,0.00025160948681854855
10,0.00018483873553300063,7.557578365729691e-05,2.7713683263655978e-05,0.00019268535594548687
