param,w1,w1_mean,ci_low,ci_high
P1,0.5062776655673913,0.5062161279203636,0.5031114321794371,0.509228759637832
P2,-0.852990771649413,-0.8530264451604365,-0.8547334102974096,-0.85146148620917
P3,-0.02888424191089154,-0.028905601396768905,-0.03021335559226767,-0.027815030733956823
P4,-0.000749151934860631,-0.0007276814786210412,-0.0020866875444264395,0.0007668713078581126
P5,0.0074074990153039245,0.0074496531704939415,0.005990653090508969,0.008934060095178581
P6,0.014831411375055783,0.01491370135716481,0.013007487176794768,0.016648112330006834
P7,-0.07345117327630053,-0.07334856699072251,-0.07601575219518046,-0.07091649531807549
P8,-0.07007863265239439,-0.07010268844417859,-0.07212320917722713,-0.06828920126511456
P9,0.04527596801070233,0.04528100684759546,0.041997529867217,0.0488618199796775
P10,-0.05122463738031742,-0.05116838175237069,-0.05482843107421252,-0.04788757882445714
