param,w1,w1_mean,ci_low,ci_high
P1,-0.5243583045320905,-0.5245535178511073,-0.5501591169066575,-0.49761399224614455
P2,-0.8486385726695076,-0.8482360681249461,-0.8646739577890251,-0.8316320752754925
P3,-0.015394379474537917,-0.015401181237260978,-0.02047359102866439,-0.01088511672364784
P4,0.010010311417433401,0.009924769501968272,0.0035888598060623608,0.016821747412386723
P5,0.00809474618357909,0.008045606175424599,0.0014294367378260104,0.014754699703147002
P6,0.006535409275020242,0.006318320847204575,-0.0029995846455833884,0.01591280776337824
P7,-0.047124920166688254,-0.04743884513778191,-0.05771554898747154,-0.03425809719284612
P8,-0.03723459425591928,-0.03718098240248083,-0.044928688594608954,-0.027830597857113705
P9,0.026917777985239675,0.027229498116332608,0.01662589962058724,0.03891770680430076
P10,-0.009152694666724958,-0.009322095420426951,-0.020973794194377955,0.005523136225965469
