Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN16AJ             6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        2.540031e-08        2.540031e-08        3.000000            1.0                 16                  
BIN16AJliq          6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        2.540031e-08        2.540031e-08        3.000000            0.0                 16                  
BIN16AJaggI         6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        1.346766e-07        2.272035e-09        1.800000            1921.2              16                  
BIN16AJaggII        6.400000e+05        1.279990e+05        0.000000e+00        1.999984e-01        7.816063e+06        1.512500e+03        1.297810e-20        8.580564e-24        2.540031e-08        3.656143e-08        1.313829e-08        1.800000            7.8                 16                  
BIN16BJ             6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        2.529505e-08        2.529505e-08        3.000000            1.0                 16                  
BIN16BJliq          6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        2.529505e-08        2.529505e-08        3.000000            0.0                 16                  
BIN16BJaggI         6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        1.337477e-07        2.272035e-09        1.800000            1897.4              16                  
BIN16BJaggII        6.400000e+05        3.200000e+04        0.000000e+00        5.000000e-02        7.719296e+06        1.512500e+03        1.281743e-20        8.474333e-24        2.529505e-08        3.630926e-08        1.313829e-08        1.800000            7.7                 16                  
BIN17AJ             1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        3.174220e-08        3.174220e-08        3.000000            1.0                 17                  
BIN17AJliq          1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        3.174220e-08        3.174220e-08        3.000000            0.0                 17                  
BIN17AJaggI         1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        1.979388e-07        2.272035e-09        1.800000            3842.4              17                  
BIN17AJaggII        1.280000e+06        2.559990e+05        0.000000e+00        1.999992e-01        1.563213e+07        1.550000e+03        2.595621e-20        1.674594e-23        3.174220e-08        5.373560e-08        1.313829e-08        1.800000            15.6                17                  
BIN17BJ             1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        3.161066e-08        3.161066e-08        3.000000            1.0                 17                  
BIN17BJliq          1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        3.161066e-08        3.161066e-08        3.000000            0.0                 17                  
BIN17BJaggI         1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        1.965736e-07        2.272035e-09        1.800000            3794.8              17                  
BIN17BJaggII        1.280000e+06        6.400000e+04        0.000000e+00        5.000000e-02        1.543859e+07        1.550000e+03        2.563486e-20        1.653862e-23        3.161066e-08        5.336497e-08        1.313829e-08        1.800000            15.4                17                  
BIN18AJ             2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        3.967525e-08        3.967525e-08        3.000000            1.0                 18                  
BIN18AJliq          2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        3.967525e-08        3.967525e-08        3.000000            0.0                 18                  
BIN18AJaggI         2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        2.909175e-07        2.272035e-09        1.800000            7684.8              18                  
BIN18AJaggII        2.560000e+06        5.119990e+05        0.000000e+00        1.999996e-01        3.126425e+07        1.587500e+03        5.191242e-20        3.270074e-23        3.967525e-08        7.897706e-08        1.313829e-08        1.800000            31.2                18                  
BIN18BJ             2.560000e+06        1.280000e+05        0.000000e+00        5.000000e-02        3.087718e+07        1.587500e+03        5.126971e-20        3.229588e-23        3.951083e-08        3.951083e-08        3.951083e-08        3.000000            1.0                 18                  
BIN18BJliq          2.560000e+06        1.280000e+05        0.000000e+00        5.000000e-02        3.087718e+07        1.587500e+03        5.126971e-20        3.229588e-23        3.951083e-08        3.951083e-08        3.951083e-08        3.000000            0.0                 18                  
BIN18BJaggI         2.560000e+06        1.280000e+05        0.000000e+00        5.000000e-02        3.087718e+07        1.587500e+03        5.126971e-20        3.229588e-23        3.951083e-08        2.889110e-07        2.272035e-09        1.800000            7589.7              18                  
BIN18BJaggII        2.560000e+06        1.280000e+05        0.000000e+00        5.000000e-02        3.087718e+07        1.587500e+03        5.126971e-20        3.229588e-23        3.951083e-08        7.843234e-08        1.313829e-08        1.800000            30.8                18                  
BIN19AJ             5.120000e+06        1.023999e+06        0.000000e+00        1.999998e-01        6.252851e+07        1.625000e+03        1.038248e-19        6.389221e-23        4.960016e-08        4.960016e-08        4.960016e-08        3.000000            1.0                 19                  
BIN19AJliq          5.120000e+06        1.023999e+06        0.000000e+00        1.999998e-01        6.252851e+07        1.625000e+03        1.038248e-19        6.389221e-23        4.960016e-08        4.960016e-08        4.960016e-08        3.000000            0.0                 19                  
BIN19AJaggI         5.120000e+06        1.023999e+06        0.000000e+00        1.999998e-01        6.252851e+07        1.625000e+03        1.038248e-19        6.389221e-23        4.960016e-08        4.275715e-07        2.272035e-09        1.800000            15369.7             19                  
BIN19AJaggII        5.120000e+06        1.023999e+06        0.000000e+00        1.999998e-01        6.252851e+07        1.625000e+03        1.038248e-19        6.389221e-23        4.960016e-08        1.160753e-07        1.313829e-08        1.800000            62.5                19                  
BIN19BJ             5.120000e+06        2.560000e+05        0.000000e+00        5.000000e-02        6.175437e+07        1.625000e+03        1.025394e-19        6.310118e-23        4.939462e-08        4.939462e-08        4.939462e-08        3.000000            1.0                 19                  
BIN19BJliq          5.120000e+06        2.560000e+05        0.000000e+00        5.000000e-02        6.175437e+07        1.625000e+03        1.025394e-19        6.310118e-23        4.939462e-08        4.939462e-08        4.939462e-08        3.000000            0.0                 19                  
BIN19BJaggI         5.120000e+06        2.560000e+05        0.000000e+00        5.000000e-02        6.175437e+07        1.625000e+03        1.025394e-19        6.310118e-23        4.939462e-08        4.246225e-07        2.272035e-09        1.800000            15179.4             19                  
BIN19BJaggII        5.120000e+06        2.560000e+05        0.000000e+00        5.000000e-02        6.175437e+07        1.625000e+03        1.025394e-19        6.310118e-23        4.939462e-08        1.152747e-07        1.313829e-08        1.800000            61.7                19                  
BIN20AJ             1.024000e+07        5.120000e+05        0.000000e+00        5.000000e-02        1.235087e+08        1.662500e+03        2.050788e-19        1.233557e-22        6.176184e-08        6.176184e-08        6.176184e-08        3.000000            1.0                 20                  
BIN20AJliq          1.024000e+07        5.120000e+05        0.000000e+00        5.000000e-02        1.235087e+08        1.662500e+03        2.050788e-19        1.233557e-22        6.176184e-08        6.176184e-08        6.176184e-08        3.000000            0.0                 20                  
BIN20AJaggI         1.024000e+07        5.120000e+05        0.000000e+00        5.000000e-02        1.235087e+08        1.662500e+03        2.050788e-19        1.233557e-22        6.176184e-08        6.240823e-07        2.272035e-09        1.800000            30358.8             20                  
BIN20AJaggII        1.024000e+07        5.120000e+05        0.000000e+00        5.000000e-02        1.235087e+08        1.662500e+03        2.050788e-19        1.233557e-22        6.176184e-08        1.694232e-07        1.313829e-08        1.800000            123.4               20                  
BIN21AJ             2.048000e+07        1.024000e+06        0.000000e+00        5.000000e-02        2.470175e+08        1.700000e+03        4.101577e-19        2.412692e-22        7.723861e-08        7.723861e-08        7.723861e-08        3.000000            1.0                 21                  
BIN21AJliq          2.048000e+07        1.024000e+06        0.000000e+00        5.000000e-02        2.470175e+08        1.700000e+03        4.101577e-19        2.412692e-22        7.723861e-08        7.723861e-08        7.723861e-08        3.000000            0.0                 21                  
BIN21AJaggI         2.048000e+07        1.024000e+06        0.000000e+00        5.000000e-02        2.470175e+08        1.700000e+03        4.101577e-19        2.412692e-22        7.723861e-08        9.172353e-07        2.272035e-09        1.800000            60717.6             21                  
BIN21AJaggII        2.048000e+07        1.024000e+06        0.000000e+00        5.000000e-02        2.470175e+08        1.700000e+03        4.101577e-19        2.412692e-22        7.723861e-08        2.490072e-07        1.313829e-08        1.800000            246.7               21                  
BIN22AJ             4.096000e+07        2.048000e+06        0.000000e+00        5.000000e-02        4.940349e+08        1.737500e+03        8.203154e-19        4.721240e-22        9.660935e-08        9.660935e-08        9.660935e-08        3.000000            1.0                 22                  
BIN22AJliq          4.096000e+07        2.048000e+06        0.000000e+00        5.000000e-02        4.940349e+08        1.737500e+03        8.203154e-19        4.721240e-22        9.660935e-08        9.660935e-08        9.660935e-08        3.000000            0.0                 22                  
BIN22AJaggI         4.096000e+07        2.048000e+06        0.000000e+00        5.000000e-02        4.940349e+08        1.737500e+03        8.203154e-19        4.721240e-22        9.660935e-08        1.348092e-06        2.272035e-09        1.800000            121435.1            22                  
BIN22AJaggII        4.096000e+07        2.048000e+06        0.000000e+00        5.000000e-02        4.940349e+08        1.737500e+03        8.203154e-19        4.721240e-22        9.660935e-08        3.659744e-07        1.313829e-08        1.800000            493.4               22                  
BIN23AJaggI         8.192000e+07        4.096000e+06        0.000000e+00        5.000000e-02        9.880699e+08        1.775000e+03        1.640631e-18        9.242990e-22        1.208569e-07        1.981338e-06        2.272035e-09        1.800000            242870.2            23                  
BIN23AJaggII        8.192000e+07        4.096000e+06        0.000000e+00        5.000000e-02        9.880699e+08        1.775000e+03        1.640631e-18        9.242990e-22        1.208569e-07        5.378852e-07        1.313829e-08        1.800000            986.9               23                  
BIN23AJaggIII       8.192000e+07        4.096000e+06        0.000000e+00        5.000000e-02        9.880699e+08        1.775000e+03        1.640631e-18        9.242990e-22        1.208569e-07        1.261615e-07        9.660935e-08        1.800000            2.0                 23                  
BIN24AJaggI         1.638400e+08        8.192000e+06        0.000000e+00        5.000000e-02        1.976140e+09        1.812500e+03        3.281262e-18        1.810351e-21        1.512126e-07        2.912040e-06        2.272035e-09        1.800000            485740.4            24                  
BIN24AJaggII        1.638400e+08        8.192000e+06        0.000000e+00        5.000000e-02        1.976140e+09        1.812500e+03        3.281262e-18        1.810351e-21        1.512126e-07        7.905485e-07        1.313829e-08        1.800000            1973.8              24                  
BIN24AJaggIII       1.638400e+08        8.192000e+06        0.000000e+00        5.000000e-02        1.976140e+09        1.812500e+03        3.281262e-18        1.810351e-21        1.512126e-07        1.854239e-07        9.660935e-08        1.800000            4.0                 24                  
BIN25AJaggI         3.276800e+08        1.638400e+07        0.000000e+00        5.000000e-02        3.952280e+09        1.850000e+03        6.562523e-18        3.547310e-21        1.892199e-07        4.279926e-06        2.272035e-09        1.800000            971480.9            25                  
BIN25AJaggII        3.276800e+08        1.638400e+07        0.000000e+00        5.000000e-02        3.952280e+09        1.850000e+03        6.562523e-18        3.547310e-21        1.892199e-07        1.161896e-06        1.313829e-08        1.800000            3947.5              25                  
BIN25AJaggIII       3.276800e+08        1.638400e+07        0.000000e+00        5.000000e-02        3.952280e+09        1.850000e+03        6.562523e-18        3.547310e-21        1.892199e-07        2.725239e-07        9.660935e-08        1.800000            8.0                 25                  
