Bin_name(1)         nC[-](2)            nH[-](3)            nO[-](4)            H/C[-](5)           MW[kg/kmol](6)      density[kg/m3](7)   mass[kg](8)         volume[m3](9)       Dsph[m](10)         Dcol[m](11)         Dpp[m](12)          Df[-](13)           numPP[#](14)        Bin_section(15)     
BIN6AJ              6.400000e+02        4.310000e+02        0.000000e+00        6.734375e-01        8.121488e+03        1.137500e+03        1.348524e-23        1.185516e-26        2.829022e-09        2.829022e-09        2.829022e-09        3.000000            1.0                 6                   
BIN6AJliq           6.400000e+02        4.310000e+02        0.000000e+00        6.734375e-01        8.121488e+03        1.137500e+03        1.348524e-23        1.185516e-26        2.829022e-09        2.829022e-09        2.829022e-09        3.000000            0.0                 6                   
BIN6AJaggI          6.400000e+02        4.310000e+02        0.000000e+00        6.734375e-01        8.121488e+03        1.137500e+03        1.348524e-23        1.185516e-26        2.829022e-09        2.963972e-09        2.272035e-09        1.800000            2.0                 6                   
BIN6BJ              6.400000e+02        1.270000e+02        0.000000e+00        1.984375e-01        7.815056e+03        1.137500e+03        1.297643e-23        1.140785e-26        2.792984e-09        2.792984e-09        2.792984e-09        3.000000            1.0                 6                   
BIN6BJliq           6.400000e+02        1.270000e+02        0.000000e+00        1.984375e-01        7.815056e+03        1.137500e+03        1.297643e-23        1.140785e-26        2.792984e-09        2.792984e-09        2.792984e-09        3.000000            0.0                 6                   
BIN6BJaggI          6.400000e+02        1.270000e+02        0.000000e+00        1.984375e-01        7.815056e+03        1.137500e+03        1.297643e-23        1.140785e-26        2.792984e-09        2.901311e-09        2.272035e-09        1.800000            1.9                 6                   
BIN6CJ              6.400000e+02        3.300000e+01        0.000000e+00        5.156250e-02        7.720304e+03        1.137500e+03        1.281910e-23        1.126954e-26        2.781650e-09        2.781650e-09        2.781650e-09        3.000000            1.0                 6                   
BIN6CJliq           6.400000e+02        3.300000e+01        0.000000e+00        5.156250e-02        7.720304e+03        1.137500e+03        1.281910e-23        1.126954e-26        2.781650e-09        2.781650e-09        2.781650e-09        3.000000            0.0                 6                   
BIN6CJaggI          6.400000e+02        3.300000e+01        0.000000e+00        5.156250e-02        7.720304e+03        1.137500e+03        1.281910e-23        1.126954e-26        2.781650e-09        2.881716e-09        2.272035e-09        1.800000            1.9                 6                   
BIN7AJ              1.250000e+03        8.120000e+02        0.000000e+00        6.496000e-01        1.583225e+04        1.175000e+03        2.628849e-23        2.237319e-26        3.496040e-09        3.496040e-09        3.496040e-09        3.000000            1.0                 7                   
BIN7AJliq           1.250000e+03        8.120000e+02        0.000000e+00        6.496000e-01        1.583225e+04        1.175000e+03        2.628849e-23        2.237319e-26        3.496040e-09        3.496040e-09        3.496040e-09        3.000000            0.0                 7                   
BIN7AJaggI          1.250000e+03        8.120000e+02        0.000000e+00        6.496000e-01        1.583225e+04        1.175000e+03        2.628849e-23        2.237319e-26        3.496040e-09        4.294706e-09        2.272035e-09        1.800000            3.9                 7                   
BIN7BJ              1.250000e+03        2.490000e+02        0.000000e+00        1.992000e-01        1.526474e+04        1.175000e+03        2.534619e-23        2.157122e-26        3.453759e-09        3.453759e-09        3.453759e-09        3.000000            1.0                 7                   
BIN7BJliq           1.250000e+03        2.490000e+02        0.000000e+00        1.992000e-01        1.526474e+04        1.175000e+03        2.534619e-23        2.157122e-26        3.453759e-09        3.453759e-09        3.453759e-09        3.000000            0.0                 7                   
BIN7BJaggI          1.250000e+03        2.490000e+02        0.000000e+00        1.992000e-01        1.526474e+04        1.175000e+03        2.534619e-23        2.157122e-26        3.453759e-09        4.208489e-09        2.272035e-09        1.800000            3.8                 7                   
BIN7CJ              1.250000e+03        6.400000e+01        0.000000e+00        5.120000e-02        1.507826e+04        1.175000e+03        2.503655e-23        2.130770e-26        3.439637e-09        3.439637e-09        3.439637e-09        3.000000            1.0                 7                   
BIN7CJliq           1.250000e+03        6.400000e+01        0.000000e+00        5.120000e-02        1.507826e+04        1.175000e+03        2.503655e-23        2.130770e-26        3.439637e-09        3.439637e-09        3.439637e-09        3.000000            0.0                 7                   
BIN7CJaggI          1.250000e+03        6.400000e+01        0.000000e+00        5.120000e-02        1.507826e+04        1.175000e+03        2.503655e-23        2.130770e-26        3.439637e-09        4.179848e-09        2.272035e-09        1.800000            3.7                 7                   
BIN8AJ              2.500000e+03        1.562000e+03        0.000000e+00        6.248000e-01        3.160200e+04        1.212500e+03        5.247322e-23        4.327688e-26        4.355979e-09        4.355979e-09        4.355979e-09        3.000000            1.0                 8                   
BIN8AJliq           2.500000e+03        1.562000e+03        0.000000e+00        6.248000e-01        3.160200e+04        1.212500e+03        5.247322e-23        4.327688e-26        4.355979e-09        4.355979e-09        4.355979e-09        3.000000            0.0                 8                   
